"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
222,686973,"Varland, Louis",1070,20.7,0.261,0.174,0.303,0.435,0.361,0.375,0.287,12,46,92.2,11.4,2213,97.1,97.97,27,107,115,0.9000000000000057,6.9,110,149,118,148,296,322,289,"-2.695","2.695","70.0","6.8",55,35,8,2,0,2,11,20,9,16.4,1.34194,1.09484,0.5582,0.01838,"91.7",187,52.94117647058824,8.823529411764707,5.454545454545454,5.42,-3.01,0.04,2.36,0.382,3,"1.213963964",0.406,0.439,"-1.213963964",-0.026,-0.02400000000000002,-0.004,-0.014,25.2,"40.3",2.8900414695956522,10.050314801020876,31.077369367663884,0.39805825242718446,38.50365650753762,22.076018652751536
219,677865,"Bruihl, Justin",229,95.6,0.333,0.14,0.459,0.474,0.376,0.298,0.246,19,57,87.2,7.4,2370,85.1,85.3,20,89,130,0.20000000000000284,6.8,109,148,116,149,289,322,294,"-2.728","2.728","71.0","7.4",62,39,15,2,0,2,18,29,4,6.5,3.14,0.10014,0.07228,0.04142,"91.2",120,30.76923076923077,7.6923076923076925,4.838709677419355,5.11,3.27,0.11,2.47,0.387,3,"1.2456621",0.307,0.362,"-1.2456621",0.087,0.08000000000000002,0.112,0.078,22.5,"29.4",12.400362780048924,-3.565143232460171,32.43981468457234,0.6309523809523809,37.04953862867612,31.633666499441038
199,570632,"Ureña, José",938,21.2,0.245,0.204,0.22,0.449,0.317,0.406,0.31,12,49,88.8,22,2035,91.8,91.25,22,110,89,-0.5999999999999943,6.2,113,151,119,149,295,323,300,"0.212","-0.212","70.9","7.5",52,44,8,1,0,3,5,9.6,3,5.8,1.96352,0.78211,1.0704,-0.10447,"92.0",143,40.909090909090914,13.636363636363635,11.538461538461538,5.7,-3.04,0.01,2.14,0.288,6,"-0.106532663",0.35,0.609,"0.106532663",-0.065,-0.062,-0.16,-0.089,20,"30.6",13.366526181948636,-8.26370479328871,34.12357103976353,0.48148148148148145,37.55775514405185,33.22304368786475
146,606930,"Barnes, Jacob",146,100,0.323,0.129,0.333,0.452,0.345,0.373,0.298,10,31,88.5,15.7,2266,89.8,90.11,18,68,78,0.29999999999999716,6.58,108,144,113,142,293,327,299,"-0.097","0.097","70.9","7.2",36,28,8,1,0,1,5,13.9,3,8.3,2.07459,0.77623,-0.10118,-0.1316,"92.7",159,35.714285714285715,10.714285714285714,8.333333333333332,5.64,-1.45,0.19,2.05,0.361,3,"0.066438356",0.359,0.499,"-0.066438356",0.025,0.0020000000000000018,-0.047,-0.028,26.5,"42.2",9.453010646045621,1.1671119132648242,31.71970041400317,0.578125,39.392588634494835,28.908508181294696
139,622253,"Tate, Dillon",139,100,0.296,0.148,0.389,0.444,0.396,0.388,0.263,8,27,85.3,16.6,2040,84.6,84.14,11,54,85,-0.5,6.23,107,150,119,148,293,322,297,"-2.895","2.895","71.8","7.6",34,19,6,1,0,1,8,23.5,6,17.6,3.07417,0.1846,0.36482,-0.12266,"91.3",156,26.31578947368421,10.526315789473683,5.88235294117647,5.16,-2,-0.05,2.32,0.441,2,"2.082733813",0.414,0.459,"-2.082733813",0.033,0.027000000000000024,-0.015,0.008,20.4,"20.6",15.147726442821277,-8.53967945880656,30.196920044971687,0.5370370370370371,37.6699831384718,35.16243259133338
128,657024,"Swanson, Erik",128,100,0.364,0.409,0.316,0.773,0.489,0.384,0.309,8,22,86.1,27.8,1828,88.1,88.79,11,59,69,0.7000000000000028,6.81,108,141,118,142,293,318,289,"-4.923","4.923","70.5","7.3",30,21,3,3,0,2,3,10,5,16.7,2.16594,0.81055,0.61289,-0.11867,"91.6",196,33.33333333333333,9.523809523809524,6.666666666666667,6.17,-0.93,-0.14,2.22,0.467,2,"3.84609375",0.428,0.458,"-3.84609375",0.055,0.039000000000000035,0.315,0.105,18.6,"53.2",9.433563011460615,-2.2680908573857868,32.87634834497302,0.46551724137931033,36.57612998170498,29.372754822730762
125,605513,"Turnbull, Spencer",125,100,0.414,0.207,0.458,0.621,0.472,0.374,0.284,12,29,89.9,9.8,2522,86.3,85.99,15,59,66,-0.29999999999999716,6.18,110,149,119,147,292,322,289,"-3.878","3.878","68.6","7.5",33,25,9,1,1,1,4,12.1,4,12.1,2.83488,0.27112,-0.17581,-0.19452,"92.0",166,40,8,6.0606060606060606,5.61,-1.76,0.28,2.2,0.485,2,"3.1024",0.371,0.488,"-3.1024",0.13,0.11399999999999999,0.133,0.098,25.4,"24.0",11.098091044745033,-0.9237444025514452,34.95079747122122,0.543859649122807,38.59673043630049,31.427937066478428
119,681751,"Estrada, Lazaro",119,100,0.323,0.258,0.421,0.581,0.412,0.348,0.273,10,31,86.4,17.2,2254,88.3,88.24,24,64,55,-0.09999999999999432,6.2,107,149,113,146,295,328,297,"-2.815","2.815","71.0","7.4",35,22,6,2,0,2,10,28.6,1,2.9,2.15723,0.80513,0.1522,-0.05763,"91.7",197,31.818181818181817,13.636363636363635,8.571428571428571,5.58,-0.95,0.29,2.33,0.382,3,"2.365546218",0.337,0.46,"-2.365546218",0.05,0.044999999999999984,0.121,0.064,37.5,"48.6",11.395833205670735,-3.467310433963612,30.902869565216644,0.53125,38.71431575784645,32.14489796506229
92,677020,"Walker, Josh",92,100,0.364,0.136,0.571,0.5,0.411,0.313,0.235,8,22,90.7,18.7,2206,88.1,89.53,15,42,50,1.4000000000000057,7.23,103,148,118,143,293,323,291,"-1.66","1.66","70.5","7.6",25,14,5,3,0,0,8,32,2,8,2.2225,0.74489,-0.04196,0.03804,"94.3",146,57.14285714285714,21.428571428571427,12,6.11,2.75,0.04,2.75,0.44,3,"1.804347826",0.327,0.373,"-1.804347826",0.129,0.11299999999999999,0.127,0.098,35.7,"39.8",13.722947148806814,-4.465918216721882,30.981798873939837,0.6153846153846154,36.04865239196515,34.1432400731136
77,621366,"Borucki, Ryan",598,12.9,0.2,0,0.3,0.2,0.285,0.398,0.339,3,15,91.1,8.3,2073,88,88.34,13,29,48,0.29999999999999716,6.57,116,149,116,149,290,323,287,"0.475","-0.475","70.4","8.0",19,10,3,0,0,0,5,26.3,4,21.1,2.63325,0.34434,0.49494,-0.27104,"92.6",133,60,0,0,5.67,1.27,-0.17,2,0.368,0,"-0.616883117",0.478,0.393,"0.616883117",-0.139,-0.10999999999999999,-0.193,-0.113,44.8,"29.8",14.468045068539778,-12.2800508690352,34.22874560120024,0.48148148148148145,39.51888335078826,37.52296214704016
52,596271,"Lawrence, Casey",276,18.8,0.429,0.071,0.462,0.5,0.426,0.376,0.358,6,14,89.8,10.5,2135,83.8,83.03,1,23,29,-0.7999999999999972,6.01,107,149,119,147,292,324,298,"-0.959","0.959","73.6","7.6",15,13,5,1,0,0,1,6.7,0,0,2.99404,0.31431,0.79154,-0.02192,"92.7",114,46.15384615384615,0,0,5.12,-2.67,-0.19,2.17,0.467,0,"1.844230769",0.401,0.45,"-1.844230769",0.071,0.066,0.05,0.05,4.3,"20.1",16.033433934350057,-4.366727261391464,32.33904211414893,0.34782608695652173,36.38145639512388,34.60753959695768
46,663992,"Lovelady, Richard",222,20.7,0.333,0.333,0.5,0.667,0.504,0.398,0.16,2,6,85.4,30.3,2255,89.1,90.24,5,20,26,1.1000000000000085,7.24,106,149,112,149,292,328,300,"-1.626","1.626","69.3","7.2",12,4,0,2,0,0,3,25,2,16.7,2.37348,0.53826,0.3963,-0.23978,"89.8",191,25,25,8.333333333333332,5.21,2.43,0.14,2.63,0.583,1,"3.534782609",0.498,0.312,"-3.534782609",0.173,0.08499999999999996,0.355,0.106,25,"19.9",10.899654131890331,1.8603327810774752,30.56322795544666,0.6,39.57825365880187,28.109384961113683
44,673820,"Piña, Robinson",61,72.1,0.444,0.111,0.5,0.556,0.459,0.438,0.415,4,9,87.7,19.5,2254,91,91.65,4,18,26,0.7000000000000028,6.96,104,145,117,150,292,321,298,"-2.298","2.298","70.9","7.4",10,8,3,1,0,0,1,10,1,10,2.01273,0.78682,1.20136,-0.35682,"92.6",182,50,0,0,6.25,-1.9,0.08,2.1,0.5,0,"5.222727273",0.473,0.522,"-5.222727273",0.029,0.027000000000000024,0.034,0.021,22.2,"29.6",15.245080417721951,-7.7800413601938505,35.28402134696264,0.47058823529411764,35.89952145123907,35.11857779323023
39,621114,"Burr, Ryan",39,100,0.143,0,0.25,0.143,0.197,0.224,0.168,1,7,83.7,14,2483,86.4,87.67,9,16,23,1.2999999999999972,7.07,108,151,117,147,299,323,292,"0.761","-0.761","69.8","7.8",8,4,1,0,0,0,3,37.5,1,12.5,2.97487,0.09667,-0.22132,-0.20711,"90.0",94,0,0,0,6.33,-1.92,0.37,1.66,0.25,0,"-1.951282051",0.272,0.201,"1.951282051",-0.025,-0.02200000000000002,-0.058,-0.027,56.3,"58.5",17.16579940255564,-13.285006149606351,33.166403290689296,0.1875,39.26593733665431,37.53128119016068
